id,split,region,label,class,scene_type,purity,frac_water,frac_vegetation,frac_built_up,frac_barren,frac_cropland,deg_sigma_x,deg_sigma_y,deg_theta,deg_noise,deg_jpeg_q,deg_noise_seed
lulc_00000,lulc,29,0,water,river_delta,0.8199055989583334,0.8199055989583334,0.156005859375,0.0,0.0,0.0240885416666666,1.4329706076679811,1.153998784812838,2.3108379007707818,3.4924206439690493,57,1844205634
lulc_00001,lulc,28,0,water,harbour,0.9274088541666666,0.9274088541666666,0.0,0.0164116753472222,0.0561794704861111,0.0,2.299297196214512,1.006406044953,0.9055443578597498,4.926375596630093,68,1517295781
lulc_00002,lulc,26,3,barren,river_delta,0.9087185329861112,0.0847981770833333,0.0064832899305555,0.0,0.9087185329861112,0.0,0.8485209071671658,0.897275571154232,2.5946220513913216,3.423036076606249,64,1999423345
lulc_00003,lulc,26,4,cropland,farmland,0.7724880642361112,0.0634223090277777,0.0,0.1640896267361111,0.0,0.7724880642361112,1.8768581963411848,0.865693983556952,0.0081965560061919,6.411893479453339,46,556127982
lulc_00004,lulc,29,2,built_up,harbour,0.7628038194444444,0.1061197916666666,0.0,0.7628038194444444,0.1310763888888889,0.0,2.153087832815142,1.6642662767235286,1.6283191031544235,2.278612762805941,83,531240964
lulc_00005,lulc,26,3,barren,quarry,0.6470811631944444,0.0317654079861111,0.0379503038194444,0.283203125,0.6470811631944444,0.0,1.422873600299928,1.7885880713113589,0.829677543191402,0.5410771175497677,82,107018212
lulc_00006,lulc,24,3,barren,urban_grid,1.0,0.0,0.0,0.0,1.0,0.0,1.3499024930237302,0.7132807139963453,1.6484204321233673,1.1314723834647469,74,1686253843
lulc_00007,lulc,28,3,barren,river_delta,0.6559244791666666,0.3362901475694444,0.0077853732638888,0.0,0.6559244791666666,0.0,1.7367226191039935,1.9484684946386093,0.1502395702248833,8.636969315585375,79,91196156
lulc_00008,lulc,25,0,water,river_delta,0.66015625,0.66015625,0.1047634548611111,0.0,0.2350802951388889,0.0,1.6529156016632354,2.069528062167884,1.9565756109954668,0.9141182382743628,60,2043187635
lulc_00009,lulc,27,2,built_up,urban_grid,0.7017686631944444,0.0,0.2982313368055556,0.7017686631944444,0.0,0.0,1.7600387695440762,1.4183632177987398,2.514725629259293,6.536027041781472,77,2029091538
lulc_00010,lulc,28,2,built_up,harbour,1.0,0.0,0.0,1.0,0.0,0.0,0.6828877234721707,1.9875816966929127,0.5184941412888112,0.4449435280091367,92,1278416895
lulc_00011,lulc,27,3,barren,river_delta,1.0,0.0,0.0,0.0,1.0,0.0,1.5037220936834332,1.4182156739373906,2.914181612219874,6.454862715983823,48,955446439
lulc_00012,lulc,26,4,cropland,farmland,0.6294759114583334,0.0,0.3705240885416667,0.0,0.0,0.6294759114583334,1.1176239388576468,1.8397638971466963,2.312472339224234,6.234432152803623,58,1128273178
lulc_00013,lulc,27,2,built_up,urban_grid,0.8755154079861112,0.0,0.0240614149305555,0.8755154079861112,0.1004231770833333,0.0,1.5025629606959283,1.1470989257836333,1.922319036276128,0.7468495331184206,88,785134400
lulc_00014,lulc,26,0,water,river_delta,1.0,1.0,0.0,0.0,0.0,0.0,1.0059101089823557,0.9510690227137932,1.5355052733344057,0.2283267886083191,64,1824891113
lulc_00015,lulc,27,1,vegetation,river_delta,1.0,0.0,1.0,0.0,0.0,0.0,0.974901111005578,2.1997727670114324,2.241198701493885,9.2736961898292,89,567474639
lulc_00016,lulc,25,2,built_up,harbour,1.0,0.0,0.0,1.0,0.0,0.0,1.01314346032212,1.717103562527546,1.901009300427302,6.838974948148435,86,1150664370
lulc_00017,lulc,28,4,cropland,river_delta,0.7625596788194444,0.0,0.1436903211805555,0.0,0.09375,0.7625596788194444,1.2089417309157784,1.5948169204898237,0.0937297242513303,9.910853210843898,74,755301908
lulc_00018,lulc,24,4,cropland,farmland,0.8397081163194444,0.0627983940972222,0.0,0.0974934895833333,0.0,0.8397081163194444,0.8107738970404654,0.8054793101238542,0.4692808779504626,8.035313556755579,51,1075362954
lulc_00019,lulc,25,4,cropland,river_delta,1.0,0.0,0.0,0.0,0.0,1.0,1.8079810067627535,1.8824089411510148,2.9447066302089246,0.1239812168259022,61,1836912089
lulc_00020,lulc,29,4,cropland,farmland,0.8904351128472222,0.0761990017361111,0.0,0.0333658854166666,0.0,0.8904351128472222,1.8025591166650003,1.8206540664037612,0.0307624281375048,2.740013922292454,66,1990883696
lulc_00021,lulc,27,1,vegetation,farmland,1.0,0.0,1.0,0.0,0.0,0.0,2.3540862955318835,2.270674423812361,1.619006249311323,8.835045417301474,58,1808113037
lulc_00022,lulc,27,2,built_up,urban_grid,1.0,0.0,0.0,1.0,0.0,0.0,2.1550715938310687,0.7768701903858621,0.5520111819238758,8.050745923541564,83,368079419
lulc_00023,lulc,28,2,built_up,harbour,1.0,0.0,0.0,1.0,0.0,0.0,1.8869489167545872,1.414425073560989,2.8805158291303945,8.023714408207534,56,640696712
lulc_00024,lulc,28,0,water,river_delta,0.8722330729166666,0.8722330729166666,0.0380316840277777,0.0,0.0237087673611111,0.0660264756944444,1.0375595701750713,1.1547647501788076,1.157946952246681,1.19426205760728,87,194042130
lulc_00025,lulc,24,0,water,harbour,0.8765462239583334,0.8765462239583334,0.0,0.0677625868055555,0.0556911892361111,0.0,0.7480126127620601,0.7259619933666556,1.029703048024488,1.764500035371484,74,134015821
lulc_00026,lulc,26,2,built_up,urban_grid,1.0,0.0,0.0,1.0,0.0,0.0,1.2284589370680306,0.8997440823520966,1.2669397405738083,3.6462838550920855,47,1669459491
lulc_00027,lulc,28,0,water,river_delta,0.8276638454861112,0.8276638454861112,0.0731065538194444,0.0,0.0992296006944444,0.0,0.8415074935175879,0.6425216287132328,1.013642471819062,9.761029366217825,58,737553123
lulc_00028,lulc,26,1,vegetation,farmland,0.6482747395833334,0.0,0.6482747395833334,0.0,0.0,0.3517252604166667,0.8601292053532449,1.57460895909781,0.2683474921884277,7.795264446040757,56,2128383925
lulc_00029,lulc,26,3,barren,river_delta,1.0,0.0,0.0,0.0,1.0,0.0,1.36666565501453,0.8636807362145342,0.0692446275186568,3.3693387399358072,94,1684516355
lulc_00030,lulc,29,0,water,harbour,0.6321885850694444,0.6321885850694444,0.0,0.3678114149305556,0.0,0.0,1.9887701691483304,2.081596088952411,2.322664437387625,1.8437674219255693,72,2036230904
lulc_00031,lulc,29,2,built_up,harbour,1.0,0.0,0.0,1.0,0.0,0.0,1.8983145050087928,1.3967419160520702,0.1389292399229372,10.685017819935885,47,315359681
lulc_00032,lulc,29,3,barren,river_delta,0.832275390625,0.0,0.0611979166666666,0.0,0.832275390625,0.1065266927083333,0.8319855257926869,2.003034321747774,1.3382656074314851,1.0473243927449651,81,1732477932
lulc_00033,lulc,24,1,vegetation,quarry,0.8498806423611112,0.0645887586805555,0.8498806423611112,0.0398491753472222,0.0456814236111111,0.0,0.6876102284551107,2.032589504036921,2.8394396954243595,2.04487647517426,95,566858263
lulc_00034,lulc,27,0,water,river_delta,0.8443739149305556,0.8443739149305556,0.0473361545138888,0.0,0.0,0.1082899305555555,0.6576906934551657,1.974899279926687,2.8498900611177302,3.47650480903217,57,153352450
lulc_00035,lulc,24,4,cropland,farmland,0.8534613715277778,0.0276963975694444,0.0101996527777777,0.108642578125,0.0,0.8534613715277778,1.7447215531790006,0.6804761870598176,2.052387942110412,8.245988093706345,87,141817012
