id,split,region,label,class,scene_type,purity,frac_water,frac_vegetation,frac_built_up,frac_barren,frac_cropland,deg_sigma_x,deg_sigma_y,deg_theta,deg_noise,deg_jpeg_q,deg_noise_seed
test_00000,test,224,2,built_up,urban_grid,1.0,0.0,0.0,1.0,0.0,0.0,2.0175191862722652,1.5840401324351445,2.7754568299063096,10.0876510082507,93.0,933244520.0
test_00001,test,224,0,water,quarry,0.6840006510416666,0.6840006510416666,0.0,0.0,0.3159993489583333,0.0,1.8144274257027706,1.3108588429161778,1.7999886355858565,4.610117299136163,88.0,946818164.0
test_00002,test,216,0,water,harbour,0.8065049913194444,0.8065049913194444,0.0,0.0,0.19349500868055555,0.0,1.4854391523817605,0.7276523639924419,1.9748422032514608,11.63953141796202,71.0,1691530748.0
test_00003,test,213,1,vegetation,river_delta,0.7517361111111112,0.0696072048611111,0.7517361111111112,0.0,0.09657118055555555,0.08208550347222222,0.7883432538093785,1.037504526741317,2.374582439452274,11.143268703299281,76.0,171975466.0
test_00004,test,236,4,cropland,farmland,0.9016927083333334,0.0820041232638889,0.013671875,0.002631293402777778,0.0,0.9016927083333334,1.519148519904273,1.4943068765647598,0.13156048260810915,3.16739360887378,65.0,859255483.0
test_00005,test,222,0,water,river_delta,0.6121961805555556,0.6121961805555556,0.2660861545138889,0.0,0.05479600694444445,0.0669216579861111,1.687494103885494,2.105685183302839,1.3652427330216874,1.5112473178052674,75.0,2013529204.0
test_00006,test,238,1,vegetation,quarry,0.8962131076388888,0.0,0.8962131076388888,0.1037868923611111,0.0,0.0,2.346728310481073,1.5722929336842815,3.047259590305615,8.549711033533933,67.0,1422823382.0
test_00007,test,231,0,water,harbour,0.7679036458333334,0.7679036458333334,0.0,0.041910807291666664,0.190185546875,0.0,2.315155207888959,0.7814619319076328,0.20057385555744955,7.9076273475653185,74.0,1018543144.0
test_00008,test,216,3,barren,river_delta,1.0,0.0,0.0,0.0,1.0,0.0,1.9222380935791348,1.004759554635191,0.313968089695464,5.616361831152318,74.0,464987228.0
test_00009,test,234,1,vegetation,farmland,0.9002007378472222,0.0,0.9002007378472222,0.051947699652777776,0.0,0.0478515625,1.4654152512199925,1.1594635420770532,0.8869463597724381,5.755508180073717,75.0,845039351.0
test_00010,test,225,1,vegetation,farmland,0.6433919270833334,0.0,0.6433919270833334,0.2297634548611111,0.0,0.12684461805555555,1.8378490086352461,1.2148859371814087,1.7066265734600494,1.9564607802194112,74.0,216030180.0
test_00011,test,231,1,vegetation,river_delta,0.6328938802083334,0.0,0.6328938802083334,0.0,0.3671061197916667,0.0,2.368919844709965,2.0878104774933175,2.714160689987347,10.264482747359413,92.0,1762748902.0
test_00012,test,237,2,built_up,urban_grid,0.7763943142361112,0.0,0.0,0.7763943142361112,0.2236056857638889,0.0,0.9357552110228184,1.187587746652735,0.1440123215798443,0.4196459732625226,51.0,1743046980.0
test_00013,test,224,1,vegetation,river_delta,0.6041937934027778,0.17179361979166666,0.6041937934027778,0.0,0.07923719618055555,0.144775390625,2.3136154681583574,1.6147578550584676,1.9913194407574208,1.2377693329530537,55.0,1090225790.0
test_00014,test,228,3,barren,river_delta,0.6165635850694444,0.0,0.0,0.0,0.6165635850694444,0.3834364149305556,2.296415852508495,1.4913972540437408,0.03650660146532891,11.449936075703127,52.0,1379936359.0
test_00015,test,236,4,cropland,farmland,0.6740993923611112,0.3259006076388889,0.0,0.0,0.0,0.6740993923611112,2.2849622553616493,1.045961360461564,2.3054640611338106,1.5576552050484116,77.0,531005962.0
test_00016,test,220,3,barren,quarry,1.0,0.0,0.0,0.0,1.0,0.0,1.4161614957503386,2.297632621730981,1.6952967219850525,9.648177662821249,67.0,922290497.0
test_00017,test,222,3,barren,river_delta,0.8463541666666666,0.0,0.08881293402777778,0.0,0.8463541666666666,0.06483289930555555,1.6070626909932262,1.3922590729046993,2.743753346659047,3.1846528550780526,68.0,667930322.0
test_00018,test,211,2,built_up,urban_grid,0.7630208333333334,0.0,0.2118869357638889,0.7630208333333334,0.025092230902777776,0.0,2.004518543729778,0.6836383952683603,2.4452551291176032,8.99814808097603,61.0,244572009.0
test_00019,test,211,0,water,harbour,0.68408203125,0.68408203125,0.0,0.0,0.31591796875,0.0,1.3838900412567283,1.9183099259616054,2.4904310978092012,11.727498181524705,90.0,506737217.0
test_00020,test,235,3,barren,quarry,0.7197265625,0.035454644097222224,0.2375217013888889,0.007297092013888889,0.7197265625,0.0,2.363705680932779,1.300867311896817,0.10096127379804003,2.4726898419562033,87.0,1101608365.0
test_00021,test,227,1,vegetation,quarry,0.7156575520833334,0.12337239583333333,0.7156575520833334,0.100830078125,0.060139973958333336,0.0,1.7974371013653871,2.1589245255839287,1.9110630740534964,5.940677104732245,53.0,1066940948.0
test_00022,test,231,4,cropland,farmland,1.0,0.0,0.0,0.0,0.0,1.0,2.2895131033734994,1.333430326418708,2.175162197350508,2.3944527877569697,62.0,521565790.0
test_00023,test,224,2,built_up,urban_grid,0.9278428819444444,0.0,0.06537543402777778,0.9278428819444444,0.006781684027777778,0.0,0.6544558287721917,1.383651767108855,2.797038269535629,7.809354934568354,45.0,1990978105.0
test_00024,test,224,1,vegetation,quarry,0.6319444444444444,0.0,0.6319444444444444,0.3209906684027778,0.047064887152777776,0.0,1.8653236867127796,0.8583215905198027,2.146254357922784,1.2976300783006565,67.0,989993554.0
test_00025,test,213,0,water,harbour,1.0,1.0,0.0,0.0,0.0,0.0,1.7250257094729897,1.5140082020922279,0.17921572586652768,8.033539104834386,54.0,180806221.0
test_00026,test,215,3,barren,river_delta,0.7374403211805556,0.2625596788194444,0.0,0.0,0.7374403211805556,0.0,2.2247756982341484,1.1767674854551147,1.6809799291857495,9.542355245602634,59.0,1538132585.0
test_00027,test,234,1,vegetation,farmland,0.8466796875,0.0,0.8466796875,0.0,0.0,0.1533203125,1.435230641251952,1.8558340409605627,1.5201952572638904,4.438927731810426,86.0,1137952683.0
test_00028,test,225,1,vegetation,urban_grid,1.0,0.0,1.0,0.0,0.0,0.0,2.2633606792858063,2.1392753419870267,1.6858557199886017,10.899476867928534,56.0,1638142189.0
test_00029,test,226,4,cropland,farmland,1.0,0.0,0.0,0.0,0.0,1.0,1.309394417975795,2.0130014256222086,0.10100919997252442,5.4725967632641055,94.0,582593534.0
test_00030,test,214,4,cropland,farmland,1.0,0.0,0.0,0.0,0.0,1.0,2.163296644081755,0.8632048646023254,2.0662807364343685,3.419124395240413,94.0,1857414479.0
test_00031,test,234,3,barren,quarry,1.0,0.0,0.0,0.0,1.0,0.0,2.320478943283809,0.7073485146402214,2.7473039894468325,0.22710420546513177,91.0,917963829.0
test_00032,test,220,1,vegetation,river_delta,1.0,0.0,1.0,0.0,0.0,0.0,2.3929532988714994,0.9356594630928454,2.0989137647467544,4.927860766551878,71.0,614228807.0
test_00033,test,214,3,barren,river_delta,0.6468098958333334,0.24061414930555555,0.05259874131944445,0.0,0.6468098958333334,0.059977213541666664,1.9423267594275115,1.3742043927697045,1.7874065714931662,4.876585636379037,71.0,113403623.0
test_00034,test,228,2,built_up,harbour,0.6572808159722222,0.0,0.0,0.6572808159722222,0.3427191840277778,0.0,2.022313642044003,1.9991315412062343,1.255412275264274,11.585775613535148,71.0,20131339.0
test_00035,test,237,0,water,harbour,1.0,1.0,0.0,0.0,0.0,0.0,1.3807353809135434,1.2836053396896236,0.6887676834842673,4.077912454421399,68.0,900963536.0
test_00036,test,225,0,water,harbour,0.9404568142361112,0.9404568142361112,0.0,0.0,0.05954318576388889,0.0,2.02306444781597,1.9727307987106362,1.2320880457335317,4.472646838340389,45.0,495724541.0
test_00037,test,228,3,barren,urban_grid,0.76611328125,0.0,0.1670193142361111,0.0668674045138889,0.76611328125,0.0,1.687842808001664,1.191770410129019,0.8509295541561336,10.886306927245267,80.0,1728335057.0
