model,set,n,psnr,ssim,mse
backprojection,RS-Bench,1500,30.8594013671281,0.759338718425358,69.32317869552067
backprojection,LULC,2500,30.96488134868361,0.761913544100516,68.4702361367465
backprojection,Showcase,10,29.97571749038041,0.7610157019795925,79.05507656078633
bicubic,RS-Bench,1500,32.07006832617792,0.8118140055966794,52.830799677066814
bicubic,LULC,2500,32.092469838585714,0.8101167019364706,53.36862612448654
bicubic,Showcase,10,30.828332626857424,0.8020688117761345,67.53032157914777
bicubic_usm,RS-Bench,1500,31.567093314687384,0.789477143442217,57.998982118939146
bicubic_usm,LULC,2500,31.632744905209005,0.7896571729575069,58.097315552019154
bicubic_usm,Showcase,10,30.527896980657346,0.7851960524997755,70.5170044881575
bilinear,RS-Bench,1500,32.09752522004142,0.8169823511435379,53.8166780498364
bilinear,LULC,2500,32.09626717691462,0.8144689524969331,54.48328462291844
bilinear,Showcase,10,30.716109230282946,0.804878087067387,70.30285395186779
lanczos,RS-Bench,1500,31.96148246303758,0.8064266093855947,53.669950015555216
lanczos,LULC,2500,31.99683583178937,0.8052381658591347,54.118866190190964
lanczos,Showcase,10,30.775750595866462,0.7979237046459587,67.91753172955657
lr_nearest,RS-Bench,1500,31.004863801220907,0.7611387095594,67.34342120048495
lr_nearest,LULC,2500,31.05346824134146,0.7615701927890525,67.44057668852068
lr_nearest,Showcase,10,29.745061108725974,0.7510643877278058,85.6557734032994
